Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,1,0,150.0,0,150.0,CARD
Monday,1,0,387.0,0,387.0,CARD
Monday,1,0,468.0,0,468.0,CARD
Monday,5,0,446.0,0,446.0,CARD
Monday,0,0,331.0,0,331.0,GASTRO
Monday,3,0,102.0,0,102.0,GYN
Monday,3,0,168.0,0,168.0,GYN
Monday,3,0,191.0,0,191.0,GYN
Monday,3,0,228.0,0,228.0,GYN
Monday,2,0,39.0,0,39.0,ORTH
Monday,2,0,129.0,0,129.0,ORTH
Monday,2,0,186.0,0,186.0,ORTH
Monday,2,0,346.0,0,346.0,ORTH
Monday,2,0,367.0,0,367.0,ORTH
Monday,2,0,466.0,0,466.0,ORTH
Monday,4,0,87.0,0,87.0,URO
Monday,4,0,138.0,0,138.0,URO
Monday,6,0,36.0,0,36.0,URO
Monday,6,0,234.0,0,234.0,URO
Monday,6,0,290.0,0,290.0,URO
Monday,6,0,463.0,0,463.0,URO
Tuesday,7,0,164.0,0,164.0,GASTRO
Tuesday,7,0,255.0,0,255.0,GASTRO
Tuesday,7,0,405.0,0,405.0,GASTRO
Tuesday,7,0,458.0,0,458.0,GASTRO
Tuesday,10,0,111.0,0,111.0,GYN
Tuesday,10,0,257.0,0,257.0,GYN
Tuesday,11,0,95.0,0,95.0,GYN
Tuesday,11,0,215.0,0,215.0,GYN
Tuesday,8,0,301.0,0,301.0,ORTH
Tuesday,8,0,462.0,0,462.0,ORTH
Tuesday,9,0,146.0,0,146.0,ORTH
Tuesday,9,0,352.0,0,352.0,ORTH
Tuesday,12,0,123.0,0,123.0,URO
Tuesday,12,0,182.0,0,182.0,URO
Tuesday,12,0,212.0,0,212.0,URO
Tuesday,12,0,299.0,0,299.0,URO
Wednesday,15,0,56.0,0,56.0,CARD
Wednesday,15,0,130.0,0,130.0,CARD
Wednesday,15,0,209.0,0,209.0,CARD
Wednesday,15,0,345.0,0,345.0,CARD
Wednesday,13,0,215.0,0,215.0,GASTRO
Wednesday,14,0,102.0,0,102.0,GASTRO
Wednesday,17,0,170.0,0,170.0,GYN
Wednesday,17,0,216.0,0,216.0,GYN
Wednesday,17,0,386.0,0,386.0,GYN
Wednesday,18,0,150.0,0,150.0,GYN
Wednesday,18,0,201.0,0,201.0,GYN
Wednesday,18,0,240.0,0,240.0,GYN
Wednesday,18,0,409.0,0,409.0,GYN
Wednesday,16,0,246.0,0,246.0,MED
Wednesday,20,0,26.0,0,26.0,ORTH
Wednesday,19,0,181.0,0,181.0,URO
Wednesday,19,0,268.0,0,268.0,URO
Thursday,21,0,313.0,0,313.0,GASTRO
Thursday,21,0,330.0,0,330.0,GASTRO
Thursday,21,0,365.0,0,365.0,GASTRO
Thursday,21,0,473.0,0,473.0,GASTRO
Thursday,23,0,275.0,0,275.0,GYN
Thursday,24,0,126.0,0,126.0,GYN
Thursday,24,0,276.0,0,276.0,GYN
Thursday,24,0,451.0,0,451.0,GYN
Thursday,22,0,147.0,0,147.0,ORTH
Thursday,22,0,180.0,0,180.0,ORTH
Thursday,25,0,71.0,0,71.0,URO
Thursday,25,0,458.0,0,458.0,URO
Friday,27,0,108.0,0,108.0,CARD
Friday,31,0,38.0,0,38.0,CARD
Friday,31,0,299.0,0,299.0,CARD
Friday,26,0,126.0,0,126.0,GASTRO
Friday,26,0,230.0,0,230.0,GASTRO
Friday,26,0,255.0,0,255.0,GASTRO
Friday,26,0,342.0,0,342.0,GASTRO
Friday,29,0,4.0,0,4.0,GYN
Friday,29,0,98.0,0,98.0,GYN
Friday,29,0,179.0,0,179.0,GYN
Friday,29,0,257.0,0,257.0,GYN
Friday,29,0,366.0,0,366.0,GYN
Friday,28,0,33.0,0,33.0,ORTH
Friday,28,0,124.0,0,124.0,ORTH
Friday,30,0,114.0,0,114.0,URO
Friday,30,0,299.0,0,299.0,URO
