Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,3,0,259.0,0,259.0,GYN
Monday,3,1,446.0,0,446.0,GYN
Monday,3,2,473.0,0,473.0,GYN
Monday,0,3,2.0,0,2.0,GASTRO
Monday,0,4,453.0,0,453.0,GASTRO
Monday,2,5,103.0,0,103.0,ORTH
Monday,2,6,169.0,0,169.0,ORTH
Monday,2,7,436.0,0,436.0,ORTH
Monday,2,8,458.0,0,458.0,ORTH
Monday,1,9,98.0,0,98.0,CARD
Monday,1,10,327.0,0,327.0,CARD
Monday,1,11,391.0,0,391.0,CARD
Monday,5,12,47.0,0,47.0,CARD
Monday,4,13,17.0,0,17.0,URO
Monday,4,14,62.0,0,62.0,URO
Monday,6,15,444.0,0,444.0,URO
Tuesday,10,16,32.0,0,32.0,GYN
Tuesday,10,17,302.0,0,302.0,GYN
Tuesday,11,18,196.0,0,196.0,GYN
Tuesday,11,19,352.0,0,352.0,GYN
Tuesday,11,20,382.0,0,382.0,GYN
Tuesday,11,21,396.0,0,396.0,GYN
Tuesday,11,22,404.0,0,404.0,GYN
Tuesday,11,23,454.0,0,454.0,GYN
Tuesday,7,24,210.0,0,210.0,GASTRO
Tuesday,7,25,450.0,0,450.0,GASTRO
Tuesday,8,26,4.0,0,4.0,ORTH
Tuesday,8,27,456.0,0,456.0,ORTH
Tuesday,12,28,206.0,0,206.0,URO
Tuesday,12,29,361.0,0,361.0,URO
Wednesday,17,30,52.0,0,52.0,GYN
Wednesday,13,31,28.0,0,28.0,GASTRO
Wednesday,13,32,193.0,0,193.0,GASTRO
Wednesday,13,33,458.0,0,458.0,GASTRO
Wednesday,14,34,251.0,0,251.0,GASTRO
Wednesday,14,35,433.0,0,433.0,GASTRO
Wednesday,20,36,42.0,0,42.0,ORTH
Thursday,23,37,149.0,0,149.0,GYN
Thursday,23,38,470.0,0,470.0,GYN
Thursday,24,39,104.0,0,104.0,GYN
Thursday,24,40,345.0,0,345.0,GYN
Thursday,22,41,68.0,0,68.0,ORTH
Thursday,22,42,276.0,0,276.0,ORTH
Thursday,25,43,82.0,0,82.0,URO
Thursday,25,44,121.0,0,121.0,URO
Thursday,25,45,463.0,0,463.0,URO
Friday,29,46,114.0,0,114.0,GYN
Friday,29,47,371.0,0,371.0,GYN
Friday,26,48,71.0,0,71.0,GASTRO
Friday,28,49,469.0,0,469.0,ORTH
Friday,27,50,74.0,0,74.0,CARD
Friday,27,51,296.0,0,296.0,CARD
Friday,27,52,358.0,0,358.0,CARD
Friday,31,53,88.0,0,88.0,CARD
Friday,31,54,311.0,0,311.0,CARD
Friday,31,55,368.0,0,368.0,CARD
Friday,30,56,22.0,0,22.0,URO
Friday,30,57,258.0,0,258.0,URO
Friday,30,58,312.0,0,312.0,URO
