,problem,method,budget,pool sampling,train pool size,train seed,test pool size,test seed,test objective,train objective,method settings,instance size,objective,number accepted,number of evaluations,number of iterations,elapsed time,emergency arrival rate,costs configuration
0,ESPU,seqpre,5000,descriptive,100,0,1000,1995,27535.67866087163,,_fs=50_sf=True_si=2_im=updates_dc=optimal_pr=90995050,70,27271.54737511237,45,5124,342,4.593398094177246,4,4
1,ESPU,seqpre,5000,descriptive,100,0,1000,1995,41525.23858195433,,_fs=50_sf=True_si=2_im=updates_dc=optimal_pr=90995050,100,40902.240683087795,48,5104,255,7.129408121109009,4,4
2,ESPU,seqpre,5000,descriptive,100,0,1000,1995,75066.10387494562,,_fs=50_sf=True_si=2_im=updates_dc=optimal_pr=90995050,150,75878.49908769425,46,5116,261,9.351987838745117,4,4
3,ESPU,seqpre,5000,descriptive,100,0,1000,1995,172128.53152954194,,_fs=50_sf=True_si=2_im=updates_dc=optimal_pr=90995050,200,170945.27891160533,54,5116,190,12.945255279541016,4,4
4,ESPU,deterministic,5000,average,1,0,1000,1995,36150.04781243955,,,70,12089.55999999998,1819,0,5000,6.733709812164307,4,4
5,ESPU,deterministic,5000,average,1,0,1000,1995,49468.81823381032,,,100,8926.360000000002,1019,0,5000,10.734934091567993,4,4
6,ESPU,deterministic,5000,average,1,0,1000,1995,88276.03724783237,,,150,25388.759999999947,508,0,5000,12.45934510231018,4,4
7,ESPU,deterministic,5000,average,1,0,1000,1995,120911.27100611903,,,200,51809.55999999993,426,0,5000,7.719645977020264,4,4
8,ESPU,seqdif,5000,descriptive,100,0,1000,1995,40475.7303785454,,_av=10_uv=True_si=1,70,40197.95239069664,26,2687,78,4.135272026062012,4,4
9,ESPU,seqdif,5000,descriptive,100,0,1000,1995,61357.212830431,,_av=10_uv=True_si=1,100,60292.1476430195,35,2501,111,6.120483875274658,4,4
10,ESPU,seqdif,5000,descriptive,100,0,1000,1995,102897.01437823394,,_av=10_uv=True_si=1,150,104606.02896780428,32,2667,135,10.571139812469482,4,4
11,ESPU,seqdif,5000,descriptive,100,0,1000,1995,224079.0846258547,,_av=10_uv=True_si=1,200,223224.59234416002,32,2698,92,13.137810945510864,4,4
